Name,Display_Name__c,API_Name__c,Data_Source__c
strp_pi,"Payment Intent",payment_intent,strp
strp_inv,"Invoice",invoice,strp
strp_cust,"Customer",customer,strp
strp_li,"Line Item",line_item,strp
